Subject Name,Scientific.Name
winter vetch,Vicia villosa ssp. Villosa
big periwinkle,Vinca major
common periwinkle,Vinca minor
white swallowwort,Vincetoxicum hirundinaria
"Black dog-strangling vine, black swallowwort",Vincetoxicum nigrum
"dog-strangling vine, European swallowwort",Vincetoxicum rossicum
exotic swallowwort,Vincetoxicum spp.
English violet,Viola odorata
pansy,Viola tricolor
lilac chastetree,Vitex agnus-castus
beach vitex,Vitex rotundifolia f.
simpleleaf chastetree,Vitex trifolia
grape,Vitis spp.
wine grape,Vitis vinifera
Egyptian knapweed,Volutaria tubuliflora
squirreltail fescue,Vulpia bromoides
rattail fescue,Vulpia myuros
Washington fan palm,Washingtonia robusta
cape bugle-lily,Watsonia borbonica
bulbil bugle-lily,Watsonia meriana
Japanese wisteria,Wisteria floribunda
Chinese wisteria,Wisteria sinensis
Wisteria floribunda x sinensis hybrid,Wisteria x formosa
spiny cocklebur,Xanthium spinosum
arrowleaf elephant's ear,Xanthosoma sagittifolium
Asiatic hawksbeard,Youngia japonica
calla lily,Zantedeschia aethiopica
prickly-ash,Zanthoxylum americanum
Japanese zelkova,Zelkova serrata
dwarf eelgrass,Zostera japonica
Syrian beancaper,Zygophyllum fabago
